"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","wp_page_template","post_format","comment_status","ping_status","pinged","post_parent","menu_order","era_ecoregion_to_come_under_the_title","era_ecoregion_know_more_link","pods_caption","pods_alt_text","pods_description","pods_file_name","pods_title","et_enqueued_post_fonts","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","schema_page_type","schema_article_type","cornerstone-content","focuskeywords","keywordsynonyms"
"Baluchistan xeric woodlands","5536","This ecoregion, which extends into Pakistan and Afghanistan, includes the juniper forests of north central Baluchistan, but only a small portion lies in India adjoining the plains of western Punjab. Short rivers originate from the hills of Baluchistan Plateau and drain into shallow lakes or are absorbed into the sandy deserts. Annual rainfall is usually less than 150 mm, falling during the southwest monsoon from June to September. Temperatures fluctuate severely, with summer temperatures approaching 50ºC and hot winds called <em>loo</em> raising dust storms in the summer. At the lower elevations, the vegetation is a tropical steppe flora, with open xeric woodlands.",,"2022-07-11 14:25:40","baluchistan-xeric-woodlands","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/baluchistan-xeric-woodlands/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/baluchistan-xeric-woodlands/</a>",,,,,,,"Baluchistan xeric woodlands",,,,,,,,,,,,,,,,,,,,,,
"Brahmaputra Valley semi-evergreen forests","5537","The ecoregion represents the swath of semi-evergreen forests along the upper reaches of the Brahmaputra River, which flows through Assam and West Bengal. The region has been densely settled by people, its forests cleared, and the land extensively cultivated for thousands of years. From June to September, the southwest monsoon brings 1,500–3,000 mm of rainfall, causing the river to flood and enriching the floodplain. While the monsoon season is hot and humid, the winter is cold and dry. The ecoregion’s vegetation, adapted to these environmental and climatic variations, is broadly classified as semi-evergreen forest. It supports the world’s largest single population of greater one- horned rhinoceros and large populations of Asian elephants.",,"2022-07-11 14:25:41","brahmaputra-valley-semi-evergreen-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/brahmaputra-valley-semi-evergreen-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/brahmaputra-valley-semi-evergreen-forests/</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","Brahmaputra Valley semi-evergreen forests",,,,,,,,,,,,,,,,,,,,,,
"Central Deccan Plateau dry deciduous forests","5538","The ecoregion sits in the middle of the Deccan Plateau and retains vast areas of natural habitat, some exceeding 5,000 km². The forests hold significant populations of endangered species including the tiger, wild buffalo, wild dog, sloth bear, chousingha, gaur, blackbuck, and chinkara. The current vegetation is predominantly composed of dry forests with <em>Hardwickia</em>-dominated woodlands. The forests’ upper canopy rises to about 15 to 25 m. Lianas cling to trees in mature forests, but the undergrowth is sparse. Although not exceptional in endemism, the ecoregion harbors several of India’s threatened large mammals.",,"2022-07-11 14:25:41","central-deccan-plateau-dry-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/central-deccan-plateau-dry-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/central-deccan-plateau-dry-deciduous-forests/</a>",,,,,,,"Central Deccan Plateau dry deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Central Tibetan Plateau alpine steppe","5539","Ranging from 3,500 to nearly 6,000 m mainly in Ladakh, the Central Tibet alpine steppe landscape has flat basins between high mountains with steppe vegetation comprised of small plants such as <em>Stipa</em> feather grasses, sedges, alpine forbs, and cushion plants separated by tracts of bare earth. Many areas have underlying permafrost. The ecoregion has alpine, specialised plants adapted to dry, desiccating conditions, harsh seasonal temperature extremes, short growing seasons, high solar radiation, and wind, including species of <em>Leontopodium, Saussurea, Thylacospermum</em>, and <em>Arenaria</em>. It has significant populations of endangered wildlife including the migratory Tibetan antelope or <em>chiru</em>, argali, and Tibetan gazelle, besides carnivores such as snow leopard and wolf.",,"2022-07-11 14:25:41","central-tibetan-plateau-alpine-steppe","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/central-tibetan-plateau-alpine-steppe/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/central-tibetan-plateau-alpine-steppe/</a>",,,,,,,"Central Tibetan Plateau alpine steppe",,,,,,,,,,,,,,,,,,,,,,
"Chhota-Nagpur dry deciduous forests","5540","Of Gondwanan origins, the Chhota-Nagpur Plateau is composed of Precambrian rocks over 5.4 billion years old. It formed a bridge between the Satpura Hill Range that extends westwards across India and the Himalaya, allowing an exchange of species adapted to montane climates. Falling largely in Jharkhand and West Bengal, but extending into neighbouring states, this ecoregion has dry deciduous forests, with mainly sal <em>Shorea robusta</em>, besides <em>Anogeissus, Terminalia</em>, and <em>Lagerstroemia</em> trees, understorey shrubs, and grasses. The seasonal climate has cool winters, when nighttime temperatures may drop below freezing, and warm summers with temperatures reaching 35ºC. South-west monsoon rains (June – September) bring most of the annual average rainfall of about 1,400 mm.",,"2022-07-11 14:25:41","chhota-nagpur-dry-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/chhota-nagpur-dry-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/chhota-nagpur-dry-deciduous-forests/</a>",,,,,,,"Chhota-Nagpur dry deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Chin Hills-Arakan Yoma montane forests","5541","This ecoregion occurs along the eastern rim of Mizoram’s hill ranges, along the Myanmar border. It has montane moist forests with tropical climate and the annual rainfall can exceed 4,000 mm. Summer temperatures average 24ºC, but winter temperature can drop below the freezing point. The vegetation changes from forests with species of <em>Bauhinia, Lagerstroemia</em>, and <em>Ficus</em> trees below 1,000 m to forests with <em>Quercus, Castanopsis,</em> and <em>Schima</em> higher up. <em>Quercus xylocarpa</em> is dominant between 2,400 and 2,750 m, which yields to <em>Rhododendron arboreum</em> and <em>Quercus semecarpifolia</em> further up. At the highest elevations, the forests have a short stature and support a shrubby temperate savanna.",,"2022-07-11 14:25:44","chin-hills-arakan-yoma-montane-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/chin-hills-arakan-yoma-montane-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/chin-hills-arakan-yoma-montane-forests/</a>",,,,,,,"Chin Hills-Arakan Yoma montane forests",,,,,,,,,,,,,,,,,,,,,,
"Rock and Ice","5542","Very high elevation areas in the Himalaya (from Kashmir and Ladakh to Sikkim and Arunachal Pradesh) that are ice-covered and rocky are included in this ecoregion. Few lifeforms survive in these harsh environments and areas of permafrost. But species from neighbouring ecoregions or that move through these areas may occasionally occur.",,"2022-07-11 14:25:44","rock-and-ice","era_ad","publish",,,"standard","closed","closed",,"0","0","[Note: No ecoregion snapshot on One Earth.]",,,,,,,,"Rock and Ice",,,,,,,,,,,,,,,,,,,,,,
"East Deccan moist deciduous forests","5543","The complex landforms of the low hills along the northern Eastern Ghats mountains and the central Indian Satpura Range that fall within this ecoregion rise above 1,300 m to demarcate the northern boundary of the Indian Peninsula, and provide some relief to the otherwise featureless, flat Deccan Plateau. The ecoregion receives about 1,000 mm of annual rainfall from the monsoons that sweep in from the Bay of Bengal. Thus, the forest vegetation is influenced by topography, soil, precipitation, and microclimates created by the complex landforms. The common trees that characterize the vegetation includes species of <em>Shorea, Terminalia, Adina, Syzygium</em>, and <em>Toona</em>. The forests support populations of mammals such as tiger, sloth bear, and gaur.",,"2022-07-11 14:25:45","east-deccan-moist-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/east-deccan-moist-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/east-deccan-moist-deciduous-forests/</a>",,,,,,,"East Deccan moist deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Eastern Himalayan alpine shrub and meadows","5544","This ecoregion represents the alpine scrub and meadows of the high Himalayas, from east of the Kali Gandaki River in central Nepal, across Bhutan and Arunachal Pradesh, to northern Myanmar. The ecoregion is narrow and long, nestled between the treeline at 4,000 m and the snowline at about 5,500 m. The climate is highly seasonal. The May to September monsoon brings about 3,500 mm of rainfall, but with much drier rainshadow areas. Average summer temperature is about 20°C, dropping to below freezing in the winter. Extremely rich in plant diversity, the species include <em>Rhododendron</em>, and herbs such as <em>Primula, Impatiens, Draba, Anemone, Gentiana, Meconopsis, Saxifraga, Rheum</em>, and <em>Viola</em>, to name a few.",,"2022-07-11 14:25:45","eastern-himalayan-alpine-shrub-and-meadows","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/eastern-himalayan-alpine-shrub-and-meadows/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/eastern-himalayan-alpine-shrub-and-meadows/</a>",,,,,,,"Eastern Himalayan alpine shrub and meadows",,,,,,,,,,,,,,,,,,,,,,
"Eastern Himalayan broadleaf forests","5545","An ecoregion of outstanding diversity with Gondwanan relicts and elements of the Indo-Malayan, Indo-Chinese, Sino-Himalayan, and East Asiatic regions. It extends as a narrow band of temperate broadleaf forest, between 2,000 and 3,000 m in the eastern Himalaya, from the Kali Gandaki River gorge in Nepal through Bhutan into Arunachal Pradesh and Nagaland. It has temperate evergreen forests, a hotspot for rhododendrons and oaks, besides magnolia and cinnamon. Temperate deciduous forest dominated by maple, walnut, alder, and birch also occur. In mature evergreen forests, the trees are covered with a rich growth of mosses, ferns, and other epiphytes. It also has high animal diversity in invertebrates, reptiles, birds, and mammals.",,"2022-07-11 14:25:45","eastern-himalayan-broadleaf-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/eastern-himalayan-broadleaf-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/eastern-himalayan-broadleaf-forests/</a>",,,,,,,"Eastern Himalayan broadleaf forests",,,,,,,,,,,,,,,,,,,,,,
"Eastern Himalayan subalpine conifer forests","5546","This ecoregion represents the belt of conifer forest between 3,000 and 4,000 m, from the Kali Gandaki River in central Nepal through Bhutan and into the Arunachal Pradesh in India. It forms a transition zone between the forested Himalayan ecoregions and the treeless alpine meadows and boulder-strewn screes above. The annual rainfall can be as much as 4,500 mm in the east and 3,600 in the west (mainly from southwest monsoon), with summer temperatures averaging about 20-25°C and winter temperatures falling below freezing with snow. The forests are dominated by fir, larch, hemlock, juniper, and yew, besides rhododendrons, and shows considerable species turnover from east to west. Blue pine dominates the drier inner valleys.",,"2022-07-11 14:25:47","eastern-himalayan-subalpine-conifer-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/eastern-himalayan-subalpine-conifer-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/eastern-himalayan-subalpine-conifer-forests/</a>",,,,,,,"Eastern Himalayan subalpine conifer forests",,,,,,,,,,,,,,,,,,,,,,
"Himalayan subtropical broadleaf forests","5547","The ecoregion extends from Bhutan to Nepal, traversing the Siwalik Hills, the southernmost Himalayan range. The southwest monsoon brings rainfall up to 2,000 mm per year, being wetter in the east. These broadleaf forests, lying between 500 and 1,000 m along the Himalayan foothills, range from mixed deciduous forests to subtropical wet hill forests. The forests are tall and trees can reach 30 to even 50 m in height. The dominant trees include Sal, or <em>Shorea robusta</em>, and species of <em>Terminalia, Bauhinia, Schima</em>, and <em>Castanopsis</em>, which are typical of Asian subtropical and tropical forests. Climbers and epiphytes are common in the denser forests.",,"2022-07-11 14:25:47","himalayan-subtropical-broadleaf-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/himalayan-subtropical-broadleaf-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/himalayan-subtropical-broadleaf-forests/</a>",,,,,,,"Himalayan subtropical broadleaf forests",,,,,,,,,,,,,,,,,,,,,,
"Himalayan subtropical pine forests","5548","Dominated by Chir pine <em>Pinus roxburghii</em>, this subtropical pine forest ecosystem stretches for over 3,000 km along the lower elevations of the Himalayan mountain range, from Pakistan to Bhutan. The region receives most rain from the southwest monsoon. The dominant tree species is Chir pine. The understory is scant, with a few bushes of bayberry and Bengal currant, brambly shrubs of barberry, blackberry, Himalayan raspberry, and smaller wild strawberry. Chir pine occurs from 500 to 2000 m elevation, rarely up to 2300 m, giving way to blue pine <em>P. wallichiana</em> in higher reaches. It tends to have sparse undergrowth and with fire and disturbance may expand into broadleaved forest ecoregions.",,"2022-07-11 14:25:47","himalayan-subtropical-pine-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/himalayan-subtropical-pine-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/himalayan-subtropical-pine-forests/</a>",,,,,,,"Himalayan subtropical pine forests",,,,,,,,,,,,,,,,,,,,,,
"Indus River Delta-Arabian Sea mangroves","5549","This ecoregion is in several disjunct patches that line the shorelines of the Indus River Delta and the Gulfs of Kutch and Khambhat. Characterised by climatic extremes, from near-freezing temperatures in the winter to a sweltering 50°C during the summer. The July to September monsoon brings 100 to 500 mm of rainfall. With hot and dry conditions, high evaporation rates, and rivers that flow through evaporating mudflats, the mangrove sloughs are exceptionally saline. The mangrove community is dominated by <em>Avicennia marina</em>, the grey or white mangrove. Other associated species are species of <em>Rhizophora</em> and <em>Acanthus</em>, usually found closer to feeder creeks where the water is less saline.",,"2022-07-11 14:25:48","indus-river-delta-arabian-sea-mangroves","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/indus-river-delta-arabian-sea-mangroves/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/indus-river-delta-arabian-sea-mangroves/</a>",,,,,,,"Indus River Delta-Arabian Sea mangroves",,,,,,,,,,,,,,,,,,,,,,
"Karakoram-West Tibetan Plateau alpine steppe","5550","This ecoregion spans Ladakh within the upper Indus catchment, in the rain shadow of the Karakoram and the northwestern Himalayan ranges. The northern part exhibits tremendous topographic relief: river channels lower than 2,000 m elevation are separated by mountain massifs of 8,000 m elevation and more. Mean annual precipitation, derived from winter westerly storms and (increasingly) from summer thunderstorms, ranges from 200 to 900 mm.? The vegetation is cold desert steppe, with valley bottom stream banks supporting dense thickets of sea buckthorn, willow, tamarisk, wild rose, and other woody plants. Slopes above 3,000 m have a sparse cover of <em>Stipa</em> and <em>Festuca</em> grasses and forbs, with sedge bogs in places. Relict steppe juniper forest occurs.?",,"2022-07-11 14:25:48","karakoram-west-tibetan-plateau-alpine-steppe","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/karakoram-west-tibetan-plateau-alpine-steppe/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/karakoram-west-tibetan-plateau-alpine-steppe/</a>",,,,,,,"Karakoram-West Tibetan Plateau alpine steppe",,,,,,,,,,,,,,,,,,,,,,
"Khathiar-Gir dry deciduous forests","5551","The only ecoregion in Asia to support Asiatic lions. It has dry deciduous forests surrounded by extensive thorn scrub forests. The hot, arid climate, receives 550 to 700 mm of rain annually. Temperatures regularly soar to over 45°C and drop to near freezing on cold winter nights. As a transition area from the Afrotropical to South Indian floras, it has representatives from both. The forests canopy at 15 to 25 m height has teak as dominant species in the more humid areas, in association with species of <em>Aegle, Boswellia, Diospyros, Bombax, Sterculia, Emblica, Dalbergia,</em> and <em>Terminalia</em>. Drier areas may have almost pure stands of<em> Anogeissus pendula</em>, a small, hardy tree Rocky hillocks have the cactus-like <em>Euphorbia, Acacia, Wrightia,</em> and <em>Grewia</em>.",,"2022-07-11 14:25:50","khathiar-gir-dry-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/khathiar-gir-dry-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/khathiar-gir-dry-deciduous-forests/</a>",,,,,,,"Khathiar-Gir dry deciduous forests",,,,,,,,,,,,,,,,,,,,,,
