"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","wp_page_template","post_format","comment_status","ping_status","pinged","post_parent","menu_order","era_resource_language_new","era_resource_ecoregion_new","era_resource_phase_of_restoration_new","era_resource_state_new","era_publication_file","era_video_link","era_resource_year","era_resource_authors","era_resource_coordinates","era_resource_external_link","pods_caption","pods_alt_text","pods_description","pods_file_name","pods_title","post_category","post_tag","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","schema_page_type","schema_article_type","cornerstone-content","focuskeywords","keywordsynonyms"
"Caring For Landscape: Ecological Restoration For Biodiversity Conservation | Divya Mudappa","1938","Conservation of Rainforests holds the significance in this era of climate change. But how do we do that? how do we preserve the ecosystems from the damage that is ongoing? Is there any science behind it? What are the ways of understanding the techniques used for restoration? If you are intrigued by such questions as well and want to learn more about them, Join this Sunday Special with someone who's area of research includes conservation biology and restoration ecology, i.e. someone who is an expert from this field- Divya Mudappa, a senior scientist from Nature Conservation Foundation.",,"2022-05-27 17:02:13","caring-for-landscape-ecological-restoration-for-biodiversity-conservation-divya-mudappa","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Caring-for-a-landscape.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests",,"Tamil Nadu",,"<iframe title=""CARING FOR LANDSCAPE: ECOLOGICAL RESTORATION FOR BIODIVERSITY CONSERVATION  | Divya Mudappa"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/quYxS7jZFWo?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2021","Divya Mudappa","10.33016, 76.95989",,,,,,,"Webinar","2021,Webinar","Caring For Landscape: Ecological Restoration For Biodiversity Conservation | Divya Mudappa",,,,,,,,,,,,,,,,,,,,,,
"NCF Meendum malarum mazhaikadugal","1939","The video is about the work that NCF is doing on ecological restoration in Valparai, Tamil Nadu.",,"2022-05-27 17:02:13","ncf-meendum-malarum-mazhaikadugal","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Tamil-NCF-video.jpg",,"standard","closed","closed",,"0","0","Tamil","South Western Ghats montane rainforests",,"Tamil Nadu",,"<iframe title=""NCF Meendum malarum mazhaikadugal"" width=""1080"" height=""810"" src=""https://www.youtube.com/embed/ELJ8tp_unnQ?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2007","Divya Mudappa, T.R. Shankar Raman","10.33016, 76.95990",,,,,,,"Video","2007,Video","NCF Meendum malarum mazhaikadugal",,,,,,,,,,,,,,,,,,,,,,
"NCF Fixing Fragmented Forests","1940","The video is about the work that NCF is doing on ecological restoration in Valparai, Tamil Nadu.",,"2022-05-27 17:02:16","ncf-fixing-fragmented-forests","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/NCF-Video-Shankar.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests",,"Tamil Nadu",,"<iframe title=""NCF Fixing Fragmented Forests"" width=""1080"" height=""810"" src=""https://www.youtube.com/embed/PQI19aR1k8o?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2007","Divya Mudappa, T.R. Shankar Raman","10.33016, 76.95991",,,,,,,"Video","2007,Video","NCF Fixing Fragmented Forests",,,,,,,,,,,,,,,,,,,,,,
"Panchgani tableland Factfile (CEPF-ATREE Project)","1941","Panchgani group of plateaus includes a group five distinct plateaus in Satara district stretching from 17°54'12.08""N, 73°50'45""E to 17°55'29.98""N, 73°48'12.57""E. The elevation varies between 1200-1340m ASL. The most famous among them is the Asia Plateau or Panchgani tableland located in Panchgani hill station, and the nearest town is Wai. Panchgani tableland and Ambral can be accessed by jeepable roads upto the base of the tableland. Footpaths lead to Khingar, Rajapuri and Dandeghar plateaus.",,"2022-05-27 17:02:17","panchgani-tableland-factfile-cepf-atree-project","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/EFV2014Conservedarea-AparnaWatve.jpg",,"standard","closed","closed",,"0","0","English","North Western Ghats moist deciduous forests,North Western Ghats montane rainforests","Starting","Maharashtra","https://era-india.org/wp-content/uploads/2022/05/Panchgani-plateau-27Mar2013-Aparna-Watve.pdf",,,"Aparna Watve","17.903356, 73.845833",,,,,,,"Publication","Publication","Panchgani tableland Factfile (CEPF-ATREE Project)",,,,,,,,,,,,,,,,,,,,,,
"Chapter VIII : No Horse Carts Beyond This Point by Hema Ramani & Dr Aparna Watve","1942","Most conservation stories that we have heard, at some point talk about securing local livelihoods. But in some cases, even the local perception juxtaposes environmental conservation and livelihoods as sworn enemies. This can't be more true than in places like the Panchgani tableland where natural heritage meets growing modern day tourism. Hema Ramani of Bombay Environmental Action Group and Dr. Aparna Watve, an ecologist, tell us how activists, researchers, locals and legal experts came together and took efforts from 2003 right up to 2020 and convinced the Indian Judiciary to protect 80 acres of the Panchgani plateau from horse carts.",,"2022-05-27 17:02:17","chapter-viii-no-horse-carts-beyond-this-point-by-hema-ramani-dr-aparna-watve","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Watve-noHorses.jpg",,"standard","closed","closed",,"0","0","English","North Western Ghats moist deciduous forests,North Western Ghats montane rainforests","Starting","Maharashtra",,"<iframe title=""Chapter VIII : No Horse Carts Beyond This Point by Hema Ramani &amp; Dr Aparna Watve"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/H5M_kcCqQH8?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2020","Aparna Watve","17.903356, 73.845834",,,,,,,"Webinar","2020,Webinar","Chapter VIII : No Horse Carts Beyond This Point by Hema Ramani & Dr Aparna Watve",,,,,,,,,,,,,,,,,,,,,,
"Tropical forest restoration in the Eastern Himalaya: Evaluating early survival and growth of native tree species","1943","Asian tropical forests have among the highest rates of forest loss in the world. Ecological restoration is a vital step for biodiversity maintenance and climate change mitigation. For restoration practice, evaluation of species performance at early stages is crucial to avoid failure of the efforts and for screening species suitable to a region. Though the long-term performance of restoration plantings has been well-documented, few studies have evaluated the performance during the establishment of the planted saplings, especially in South and Southeast Asia. Restoration efforts in Northeast India, a region experiencing high forest loss, is limited by the lack of species-specific data on survival and growth. We compared inter-specific variation in seasonal survival and growth rates (diameter and height) for multiple native rainforest species from this region. We planted 3022 saplings of 50 species at a degraded open forest site. After 18 months, sapling survival varied between 9.1–94.3% for 32 species, and only six species showed “excellent” survival after 18 months. Eight out of 17 species that were tested for seasonal variation in survival showed significant differences in survival between seasons. While the diameter growth rate varied for species between seasons, the height growth rate was different between both species and season, but the interaction term between species and season was not significant. Certain animal-dispersed, medium to large-seeded primary forest species performed well and are vital for future restoration efforts in this region.",,"2022-05-27 17:02:17","tropical-forest-restoration-in-the-eastern-himalaya-evaluating-early-survival-and-growth-of-native-tree-species","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/10-Projectmonitoring-NoopurBorawake.jpg",,"standard","closed","closed",,"0","0","English","Eastern Himalayan broadleaf forests","Starting","Arunachal Pradesh","https://era-india.org/wp-content/uploads/2022/05/Borawake-et-al_2021_Tropical-forest-restoration-in-the-Eastern-Himalaya-Evaluating-early-survival-and-growth-of-native-tree-species.pdf",,"2021","Noopur Borawake, Aparajita Datta, Rohit Naniwadekar","27.082969, 92.816041",,,,,,,"Publication","2021,Publication","Tropical forest restoration in the Eastern Himalaya: Evaluating early survival and growth of native tree species",,,,,,,,,,,,,,,,,,,,,,
"Eco Restoration 2021  4th Webinar - Rainforest, Eastern Himalaya Aparajita & Noopur","1944","ISOLA DELHI CHAPTER ECO Restoration 2021- 4th Webinar - 28th Feb 2021 RAINFOREST, EASTERN HIMALAYA- APARAJITA DATTA &amp; NOOPUR BORAWAKE",,"2022-05-27 17:02:18","eco-restoration-2021-4th-webinar-rainforest-eastern-himalaya-aparajita","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/NCF-EH_ISOLA.jpg",,"standard","closed","closed",,"0","0","English","Eastern Himalayan broadleaf forests",,"Arunachal Pradesh",,"<iframe title=""ECO Restoration 2021  4th Webinar - RAINFOREST, EASTERN HIMALAYA  APARAJITA"" width=""1080"" height=""810"" src=""https://www.youtube.com/embed/TZSxBznBu30?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2021","Noopur Borawake, Aparajita Datta","27.082969, 92.816042",,,,,,,"Webinar","2021,Webinar","Eco Restoration 2021 4th Webinar - Rainforest, Eastern Himalaya Aparajita",,,,,,,,,,,,,,,,,,,,,,
"TTT7 Restoration of Tiruvannamalai hills - V Arun | திருவண்ணாமலை வன மீளமைப்பு - V. அருண்","1945","The seventh webinar under the SeasonWatch Tea-time with trees series was in Tamil! Arun V.  in conversation with P Jeganathan describes the restoration of the Thiruvannamalai hills. Arun is the Managing trustee of “ The forest way” trust and “Students sea turtle conservation network”; Correspondent and teacher in Marudam farm school, since 2009;  Environment Education coordinator, Arunagiri childrens park; and Secretary, Annamalai Reforestation Society. [ARS]",,"2022-05-27 17:02:20","ttt7-restoration-of-tiruvannamalai-hills-v-arun-%e0%ae%a4%e0%ae%bf%e0%ae%b0%e0%af%81%e0%ae%b5%e0%ae%a3%e0%af%8d%e0%ae%a3%e0%ae%be%e0%ae%ae%e0%ae%b2%e0%af%88-%e0%ae%b5%e0%ae%a9-%e0%ae%ae%e0%af%80","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Forestway-Seasonwatch.jpg",,"standard","closed","closed",,"0","0","Tamil,English","South Deccan Plateau dry deciduous forests",,"Tamil Nadu",,"<iframe title=""TTT7 Restoration of Tiruvannamalai hills - V Arun | திருவண்ணாமலை வன மீளமைப்பு - V. அருண்"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/4j5NZEo1_VA?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2020","Arun Venkataramanan","12.209773, 79.026997",,,,,,,"Webinar","2020,Webinar","TTT7 Restoration of Tiruvannamalai hills - V Arun | திருவண்ணாமலை வன மீளமைப்பு - V. அருண்",,,,,,,,,,,,,,,,,,,,,,
"V. Arun - Nature's Interconnectedness","1946","V. Arun speaks about the challenges of understanding nature and our shared relationships with it. Contemplating on the multiple ways of seeing the natural world, its interconnectedness, the various complex systems of communication and our awareness within all of this. Collaborations are the more dominant driving force in the natural world. He questions the human centric viewing of the world, forming judgments based only on human experiences. His interest lies in exploring the world through the perception of all other species and understanding the effort it takes to realign our ways of experiencing the world through these multiple perspectives. How do we reimagine the world as one that is a shared space to accommodate the multiple life forms most of which we are yet to fully understand. ",,"2022-05-27 17:02:20","v-arun-natures-interconnectedness","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Arun-interconnectedness.jpg",,"standard","closed","closed",,"0","0","English",,"Starting","Tamil Nadu",,"<iframe title=""V. Arun - Nature&#039;s Interconnectedness"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/GcW28Ez5FS4?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2021","Arun Venkataramanan","12.209773, 79.026998",,,,,,,"Video","2021,Video","V. Arun - Nature's Interconnectedness",,,,,,,,,,,,,,,,,,,,,,
"Holy hill gets its groves back","1947","An aforestation initiative led by naturalists and locals, with support from forest and revenue department o""cials, has resulted in the Arunachala hill inTiruvannamalai, Tamil Nadu, shedding its barren, brown visage. Lalitha Sridhar reports on the decade-plus-long turnaround story",,"2022-05-27 17:02:21","holy-hill-gets-its-groves-back","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/04-Plantingexercise-ArunV.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests",,"Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/The-Forest-Way-The-Hindu-Ground-Zero-Op-Ed-V-Arun.pdf",,"2017",,"12.209773, 79.026999",,,,,,,"Article","2017,Article","Holy hill gets its groves back",,,,,,,,,,,,,,,,,,,,,,
"Nature interpretation centre opened","1948","An initiative to help students develop a better understanding of nature and its complex inter-connectedness. Collector K.S. Kandasamy inaugurated Arunachala Nature Interpretation Centre in the Arunagiri Forest Park near the Arunagiri children’s park on Friday.According to a press release, the centre was a collaboration between the local administration and the Forest Way Trust.",,"2022-05-27 17:02:21","nature-interpretation-centre-opened","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/03THCENTRETVMLI.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests","Starting","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Interpretation-centre-article-V-Arun.pdf",,"2018",,"12.209773, 79.027000",,,,,,,"Article","2018,Article","Nature interpretation centre opened",,,,,,,,,,,,,,,,,,,,,,
"When the hills came alive with the chirping of birds","1949","In the early 2000s, barely 50 bird species were recorded in the 10-km region around Arunachala, the revered hill behind the famous Arunachaleshwarar Temple. Now, the number has increased four-fold to 204 species. A new publication, Bird s of Tiruvannamalai – A Guide Book , two years in the making, offers detailed documentation of this phenomenon .",,"2022-05-27 17:02:22","when-the-hills-came-alive-with-the-chirping-of-birds","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/BirdsOfTiruvannamalai_650.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests","Starting,During,After","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/The-hindu-article-Bird-book-V-Arun.pdf",,"2018",,"12.209773, 79.027001",,,,,,,"Book","2018,Book","When the hills came alive with the chirping of birds",,,,,,,,,,,,,,,,,,,,,,
"The birds are back","1950","Birds of Tiruvannamalai - A Guide Book describes the afforestation efforts that led to bringing over 200 species of birds back to the Arunachala Hill",,"2022-05-27 17:02:24","the-birds-are-back","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/BirdsOfTiruvannamalai_650.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests","Starting,During,After","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Metro-plus-article-bird-book-V-Arun.pdf",,"2018",,"12.209773, 79.027002",,,,,,,"Book","2018,Book","The birds are back",,,,,,,,,,,,,,,,,,,,,,
"இயற்கை தந்த தனித்துவ பரிசு","1951","மனிதர்களான நாம் ஆக்கப்பூர்வமான வேலைகளைச் செய்வதில் அனுபவம் பெற்றிருப்பதைப் போலவே, அழிவுப் பூர்வமான வேலைகள் செய்வதிலும் பல நூற்றாண்டு கால அனுபவத்தைப் பெற்றுள் ளோம். இரண்டுக்கும் என்ன வேறுபாடு என்றால், ஆக்கப்பூர்வமான வேலைகளைச் செய்வது கடினம் என்பதுதான். காடுகளை அழித்ததால் ஆறுகள் வற்றி விட்டன, காலநிலை மாற்றத்தால் பனி உருகுகிறது, வாழிடம் அழிந்ததால் உயிரினங்கள் அழிந்துவிட்டன என்பது போன்ற செய்திகளைக் கேட்டுக் கேட்டு விரக்தி அதிகரிக்கிறது.",,"2022-05-27 17:02:24","%e0%ae%87%e0%ae%af%e0%ae%b1%e0%af%8d%e0%ae%95%e0%af%88-%e0%ae%a4%e0%ae%a8%e0%af%8d%e0%ae%a4-%e0%ae%a4%e0%ae%a9%e0%ae%bf%e0%ae%a4%e0%af%8d%e0%ae%a4%e0%af%81%e0%ae%b5-%e0%ae%aa%e0%ae%b0%e0%ae%bf","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/ForestWay-Tamil.jpg",,"standard","closed","closed",,"0","0","Tamil","South Deccan Plateau dry deciduous forests",,"Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Tamizh-Hindu-article-V-Arun.pdf",,"2022",,"12.209773, 79.027003",,,,,,,"Article","2022,Article","இயற்கை தந்த தனித்துவ பரிசு",,,,,,,,,,,,,,,,,,,,,,
"With over 2 lakh trees, this NGO is regenerating a forest in Tamil Nadu","1952","The Forest Way, a non-profit dedicated to restoring nature, has been generating employment and recreation for indigenous communities while protecting forests for nearly a decade. The indispensable importance of forests is certainly not a subject that most people are unaware of. From a home to flora and fauna to being an important factor that helps mitigate climate change, our dependence on forests begin right from the air we breathe to the wood we use.",,"2022-05-27 17:02:25","with-over-2-lakh-trees-this-ngo-is-regenerating-a-forest-in-tamil-nadu","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/02-Sortingafterseedcollection-ArunV.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests",,"Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Your-story-article-V-Arun.pdf",,,,"12.209773, 79.027004",,,,,,,"Article","Article","With over 2 lakh trees, this NGO is regenerating a forest in Tamil Nadu",,,,,,,,,,,,,,,,,,,,,,
"Journeying With Nature The Forest Way","1953","It all began when Govinda planted a few tree saplings on the Arunachala hill to celebrate his daughter Priya’s birth. This simple act touched an inner chord in him. It was the beginning of a new journey for him and his wife and work partner Leela. At that time, they couldn't have predicted how this journey would unfold. Priya, recently completed 18 years and I, Arun, Govinda’s friend, neighbour and work partner, will take some time off to look back at this journey. It will be impossible to cover all aspects in a single short article, so I will focus on one major aspect, which defines us, that of facilitating nature engagement for people.",,"2022-05-27 17:02:25","journeying-with-nature-the-forest-way","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/10-Childrenhelpingwiththeplantingexercises-ArunV.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests","Starting","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/TFW-article-in-LAKSquare-V-Arun.pdf",,"2021",,"12.209773, 79.027005",,,,,,,"Article","2021,Article","Journeying With Nature The Forest Way",,,,,,,,,,,,,,,,,,,,,,
"Racket-tailed drongo to Marshall’s Iora, birdwatchers document new species in TN","1954","The Forest Way, a charitable trust in Tiruvannamalai, has identified and documented several new species in the region in a book titled The Birds of Tiruvannamalai.",,"2022-05-27 17:02:25","racket-tailed-drongo-to-marshalls-iora-birdwatchers-document-new-species-in-tn","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/BirdsOfTiruvannamalai_650.jpg",,"standard","closed","closed",,"0","0","English","South Deccan Plateau dry deciduous forests","Starting,During,After","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Newsminute-bird-book-article-V-Arun.pdf",,"2018",,"12.209773, 79.027006",,,,,,,"Article","2018,Article","Racket-tailed drongo to Marshall’s Iora, birdwatchers document new species in TN",,,,,,,,,,,,,,,,,,,,,,
"2010- 2020 Making Of A City Forest","1955","This report attempts to capture the journey of this transformation over the past 10 years. The journey from a dry, treacherous landscape of an abandoned mining site to a lush green City Forest – with a hope that it will inspire the rewilding of more scarred and denuded patches within the Aravali Range in Haryana.",,"2022-05-27 17:02:27","2010-2020-making-of-a-city-forest","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/ERN_9-VijayDhasmana.jpg",,"standard","closed","closed",,"0","0","English","Aravalli west thorn scrub forests",,"Haryana","https://era-india.org/wp-content/uploads/2022/05/Small_Aravali-Bio-Diversity_-Making-of-a-City-Forest-Vijay-Dhasmana.pdf",,"2020","Abhishek Gulshan, Misha Bansal,  Dr. Robin Suyesh,  Sourajit Ghosal, Vijay Dhasmana","28.48190383945245, 77.11156234235251",,,,,,,"Report","2020,Report","2010- 2020 Making Of A City Forest",,,,,,,,,,,,,,,,,,,,,,
"Birds Of Aravali Biodiversity Park, Gurgaon","1956","An ode to the native plants of our region, nurtured painstakingly under the watchful eyes of my friend Vijay Dhasmana, the park is a credit to iamgurgaon and its vision. Over the years, this abandoned stone quarry, nestled between Gurgaon and Delhi, has become an oasis for myriads of insects, butterflies, snakes, mammals, and of course, birds. Since that first visit, the park has become my favourite patch for birdwatching in Delhi-NCR, and I often spend long hours here just to enjoy the solitude it offers. At last count, 170 species of birds were sighted in this landscape, of which 80 of the most visible ones have been featured in these pages. This booklet is not a field guide. It’s merely an effort to introduce you to the joy of watching birds. Welcome to the flock.",,"2022-05-27 17:02:28","birds-of-aravali-biodiversity-park-gurgaon","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Birds-of-Aravalli.jpg",,"standard","closed","closed",,"0","0","English","Aravalli west thorn scrub forests","Starting,During,After","Haryana","https://era-india.org/wp-content/uploads/2022/05/Birds-of-the-Aravali-Biodiversity-park-Vijay-Dhasmana.pdf",,"2017","Sourajit Ghosal","28.48190383945245, 77.11156234235252",,,,,,,"Book","2017,Book","Birds Of Aravali Biodiversity Park, Gurgaon",,,,,,,,,,,,,,,,,,,,,,
"Aravali Biodiversity Park","1957","The Aravali Biodiversity Park is a green haven for Gurgaon citizens. A growing native forest that is a showcase of what the Aravalis were like once upon a time. A place with a rich biodiversity with it's own unique habitats for many native species of trees, birds, animals and insects. Here is a glimpse of how citizens feel about this wonderful space created by @IamGurgaon in partnership with the Municipal Corporation of Gurgaon, corporates, schoolchildren and many other private citizens.",,"2022-05-27 17:02:28","aravali-biodiversity-park","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Aravalli-Video-1.jpg",,"standard","closed","closed",,"0","0","English","Aravalli west thorn scrub forests",,"Haryana",,"<iframe title=""Aravali Biodiversity Park"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/tbZaAOhuCmo?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2020",,"28.48190383945245, 77.11156234235253",,,,,,,"Video","2020,Video","Aravali Biodiversity Park",,,,,,,,,,,,,,,,,,,,,,
"बड़े शहरों में जंगल? बिल्कुल, खुद देखिए","1958","शहरों की हवा में जहर घोलने के लिए अगर कोई जिम्मेदार है, तो वे हैं शहर में रहने वाले लोग. तथाकथित विकास के नाम पर जंगलों को अंधाधुंध साफ किया जा रहा है. दिल्ली और उसके आसपास के इलाके में भी यही हाल है. लेकिन कुछ लोगों ने इसे बदलने की ठानी हैं. वे शहर को उसकी खोई हुई हरियाली लौटाने में लगे हैं. देखिए दिल्ली से हृदयेश जोशी की खास रिपोर्ट, जिससे आपको भी अपने आसपास कुछ ऐसा करने की प्रेरणा मिलेगी.",,"2022-05-27 17:02:29","%e0%a4%ac%e0%a4%a1%e0%a4%bc%e0%a5%87-%e0%a4%b6%e0%a4%b9%e0%a4%b0%e0%a5%8b%e0%a4%82-%e0%a4%ae%e0%a5%87%e0%a4%82-%e0%a4%9c%e0%a4%82%e0%a4%97%e0%a4%b2-%e0%a4%ac%e0%a4%bf%e0%a4%b2%e0%a5%8d%e0%a4%95","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/ABP-Hindi.jpg",,"standard","closed","closed",,"0","0","Hindi","Aravalli west thorn scrub forests",,"Haryana",,"<iframe title=""बड़े शहरों में जंगल? बिल्कुल, खुद देखिए [Forest restoration in Delhi and NCR]"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/UpAILSGHDeQ?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2020",,"28.48190383945245, 77.11156234235254",,,,,,,"Video","2020,Video","बड़े शहरों में जंगल? बिल्कुल, खुद देखिए",,,,,,,,,,,,,,,,,,,,,,
"Wildlife Service Award 2020: I Am Gurgaon","1959","Iamgurgaon (IAG) sets an example for city residents across the world. From navigating red tape to organising seed collection drives, they have harnessed the power of human collaboration to create an oasis in between two thirsty cities – Delhi and Gurugram. Though the battle to protect this rewilded patch of the northern Aravalis is far from over, it is worth stopping a moment to appreciate what this collective of citizens has accomplished against all odds.",,"2022-05-27 17:02:29","wildlife-service-award-2020-i-am-gurgaon","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/ABP-WSA.jpg",,"standard","closed","closed",,"0","0","English","Aravalli west thorn scrub forests",,"Haryana",,"<iframe title=""Wildlife Service Award 2020: I Am Gurgaon"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/8lqQzoZk4IU?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2020",,"28.48190383945245, 77.11156234235255",,,,,,,"Video","2020,Video","Wildlife Service Award 2020: I Am Gurgaon",,,,,,,,,,,,,,,,,,,,,,
"Revival Of Aravalli Bio Diversity Park In Gurugram","1960","A large part of Aravalli range, its flora and fauna has been lost due to rampant development and urbanization. But with the participation of the government, citizens, corporate sector; an NGO 'I am Gurgaon' has managed to revive a forest on 380 acres of land, right in the middle of the city of Gurugram. The Aravalli Biodiversity Park is an endeavor to create a forest garden that celebrates forest flora native to the Aravalli range.",,"2022-05-27 17:02:31","revival-of-aravalli-bio-diversity-park-in-gurugram","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/ABP-NDTV.jpg",,"standard","closed","closed",,"0","0","English","Aravalli west thorn scrub forests",,"Haryana",,"<iframe title=""Revival Of Aravalli Bio Diversity Park In Gurugram"" width=""1080"" height=""810"" src=""https://www.youtube.com/embed/k7N0YesuJhE?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2018",,"28.48190383945245, 77.11156234235256",,,,,,,"Video","2018,Video","Revival Of Aravalli Bio Diversity Park In Gurugram",,,,,,,,,,,,,,,,,,,,,,
"An ancient rainforest in Kerala teaches us what we’re losing out on in our lonely cities of concrete","1961","Rainforests, millions of years old and one of the most diverse communities on earth, are crucial for our survival.",,"2022-05-27 17:02:31","an-ancient-rainforest-in-kerala-teaches-us-what-were-losing-out-on-in-our-lonely-cities-of-concrete","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/GBS-Scroll-1.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests",,"Kerala",,,"2018","Suprabha Seshan","11.821186716313187, 75.84525173478087","https://scroll.in/magazine/867103/an-ancient-rainforest-in-kerala-teaches-us-what-were-losing-out-on-in-our-lonely-cities-of-concrete",,,,,,"Article","2018,Article","An ancient rainforest in Kerala teaches us what we’re losing out on in our lonely cities of concrete",,,,,,,,,,,,,,,,,,,,,,
"Song of the rain: On the monsoon trail in the Western Ghats","1962","The behaviour of plants and animals in Kerala's Gurukula Botanical Sanctuary shows monsoon is going awry.",,"2022-05-27 17:02:32","song-of-the-rain-on-the-monsoon-trail-in-the-western-ghats","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/GBS-Scroll-2.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests",,"Kerala",,,"2017","Suprabha Seshan","11.821186716313187, 75.84525173478088","https://scroll.in/article/841871/song-of-the-rain-on-the-monsoon-trail-in-the-western-ghats",,,,,,"Article","2017,Article","Song of the rain: On the monsoon trail in the Western Ghats",,,,,,,,,,,,,,,,,,,,,,
"Once Upon a Biome","1963","The world in which each of us lives does not necessarily yield the world in which we all live together. Where does your world end and mine begin?",,"2022-05-27 17:02:32","once-upon-a-biome","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Gurukulayoungforestonformerlemongrassjpg-SuprabhaSeshan.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests",,"Kerala",,,"2018","Suprabha Seshan","11.821186716313187, 75.84525173478089","https://indianexpress.com/article/express-sunday-eye/once-upon-a-biome-5146475/",,,,,,"Article","2018,Article","Once Upon a Biome",,,,,,,,,,,,,,,,,,,,,,
